id,clave_entidad,nombre_entidad,clave_municipio,nombre_municipio,poblacion_total
1,1,AGUASCALIENTES,1,AGUASCALIENTES,948990
2,1,AGUASCALIENTES,2,ASIENTOS,51536
3,1,AGUASCALIENTES,3,CALVILLO,58250
4,1,AGUASCALIENTES,4,COSIO,17000
5,1,AGUASCALIENTES,5,JESUS MARIA,129929
6,1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,47646
7,1,AGUASCALIENTES,7,RINCON DE ROMOS,57369
8,1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,9552
9,1,AGUASCALIENTES,9,TEPEZALA,22485
10,1,AGUASCALIENTES,10,EL LLANO,20853
11,1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,61997
12,2,BAJA CALIFORNIA,1,ENSENADA,443807
13,2,BAJA CALIFORNIA,2,MEXICALI,1049792
14,2,BAJA CALIFORNIA,3,TECATE,108440
15,2,BAJA CALIFORNIA,4,TIJUANA,1922523
16,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,126890
17,2,BAJA CALIFORNIA,6,SAN QUINTIN,117568
18,3,BAJA CALIFORNIA SUR,1,COMONDU,73021
19,3,BAJA CALIFORNIA SUR,2,MULEGE,64022
20,3,BAJA CALIFORNIA SUR,3,LA PAZ,292241
21,3,BAJA CALIFORNIA SUR,8,LOS CABOS,351111
22,3,BAJA CALIFORNIA SUR,9,LORETO,18052
23,4,CAMPECHE,1,CALKINI,59232
24,4,CAMPECHE,2,CAMPECHE,294077
25,4,CAMPECHE,3,CARMEN,248845
26,4,CAMPECHE,4,CHAMPOTON,78170
27,4,CAMPECHE,5,HECELCHAKAN,31917
28,4,CAMPECHE,6,HOPELCHEN,42140
29,4,CAMPECHE,7,PALIZADA,8683
30,4,CAMPECHE,8,TENABO,11452
31,4,CAMPECHE,9,ESCARCEGA,59923
32,4,CAMPECHE,10,CALAKMUL,31714
33,4,CAMPECHE,11,CANDELARIA,46913
34,4,CAMPECHE,12,SEYBAPLAYA,15297
35,4,CAMPECHE,13,DZITBALCHE,0
36,5,COAHUILA DE ZARAGOZA,1,ABASOLO,1022
37,5,COAHUILA DE ZARAGOZA,2,ACUÑA,163058
38,5,COAHUILA DE ZARAGOZA,3,ALLENDE,23056
39,5,COAHUILA DE ZARAGOZA,4,ARTEAGA,29578
40,5,COAHUILA DE ZARAGOZA,5,CANDELA,1643
41,5,COAHUILA DE ZARAGOZA,6,CASTAÑOS,29128
42,5,COAHUILA DE ZARAGOZA,7,CUATRO CIENEGAS,12715
43,5,COAHUILA DE ZARAGOZA,8,ESCOBEDO,3047
44,5,COAHUILA DE ZARAGOZA,9,FRANCISCO I. MADERO,59035
45,5,COAHUILA DE ZARAGOZA,10,FRONTERA,82409
46,5,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA,11898
47,5,COAHUILA DE ZARAGOZA,12,GUERRERO,1643
48,5,COAHUILA DE ZARAGOZA,13,HIDALGO,1735
49,5,COAHUILA DE ZARAGOZA,14,JIMENEZ,9502
50,5,COAHUILA DE ZARAGOZA,15,JUAREZ,1584
51,5,COAHUILA DE ZARAGOZA,16,LAMADRID,1764
52,5,COAHUILA DE ZARAGOZA,17,MATAMOROS,118337
53,5,COAHUILA DE ZARAGOZA,18,MONCLOVA,237951
54,5,COAHUILA DE ZARAGOZA,19,MORELOS,7928
55,5,COAHUILA DE ZARAGOZA,20,MUZQUIZ,71627
56,5,COAHUILA DE ZARAGOZA,21,NADADORES,6539
57,5,COAHUILA DE ZARAGOZA,22,NAVA,33129
58,5,COAHUILA DE ZARAGOZA,23,OCAMPO,9642
59,5,COAHUILA DE ZARAGOZA,24,PARRAS,44472
60,5,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS,176327
61,5,COAHUILA DE ZARAGOZA,26,PROGRESO,3239
62,5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,122243
63,5,COAHUILA DE ZARAGOZA,28,SABINAS,64811
64,5,COAHUILA DE ZARAGOZA,29,SACRAMENTO,2471
65,5,COAHUILA DE ZARAGOZA,30,SALTILLO,879958
66,5,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA,24759
67,5,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS,42260
68,5,COAHUILA DE ZARAGOZA,33,SAN PEDRO,101041
69,5,COAHUILA DE ZARAGOZA,34,SIERRA MOJADA,6744
70,5,COAHUILA DE ZARAGOZA,35,TORREON,720848
71,5,COAHUILA DE ZARAGOZA,36,VIESCA,20305
72,5,COAHUILA DE ZARAGOZA,37,VILLA UNION,6188
73,5,COAHUILA DE ZARAGOZA,38,ZARAGOZA,13135
74,6,COLIMA,1,ARMERIA,27626
75,6,COLIMA,2,COLIMA,157048
76,6,COLIMA,3,COMALA,21661
77,6,COLIMA,4,COQUIMATLAN,20837
78,6,COLIMA,5,CUAUHTEMOC,31267
79,6,COLIMA,6,IXTLAHUACAN,5623
80,6,COLIMA,7,MANZANILLO,191031
81,6,COLIMA,8,MINATITLAN,10231
82,6,COLIMA,9,TECOMAN,116305
83,6,COLIMA,10,VILLA DE ALVAREZ,149762
84,7,CHIAPAS,1,ACACOYAGUA,17994
85,7,CHIAPAS,2,ACALA,21187
86,7,CHIAPAS,3,ACAPETAHUA,26899
87,7,CHIAPAS,4,ALTAMIRANO,36160
